ORDERNUMBER,SALES,ORDERDATE,PRODUCTLINE,COUNTRY,QUANTITYORDERED,CUSTOMERNAME,STATUS,YEAR,MONTH,QUARTER
10021,32468.5,2020-08-11,commercial trucks,Germany,39,MaxMove Transport,Cancelled,2020,2020-08,2020Q3
10022,43418.5,2020-04-29,passenger vehicles,Italy,13,TransGlobal Motors,Delivered,2020,2020-04,2020Q2
10023,28757.09,2020-05-03,passenger vehicles,Usa,32,Velocity Vehicles,Delivered,2020,2020-05,2020Q2
10024,18206.43,2020-11-10,commercial trucks,Canada,5,DriveTech Distributors,Delivered,2020,2020-11,2020Q4
10025,16411.79,2020-05-18,passenger vehicles,Usa,58,EuroFleet Systems,Delivered,2020,2020-05,2020Q2
10026,29366.12,2020-11-18,passenger vehicles,Usa,20,Velocity Vehicles,Delivered,2020,2020-11,2020Q4
10027,16726.49,2020-07-13,vehicle interiors,Japan,31,EuroFleet Systems,Delivered,2020,2020-07,2020Q3
10028,65101.11,2020-01-22,passenger vehicles,Japan,5,TransGlobal Motors,Delivered,2020,2020-01,2020Q1
10029,55864.65,2020-09-13,commercial trucks,Germany,22,"Williams, Barnes and White",Resolved,2020,2020-09,2020Q3
10030,67669.79,2020-01-29,commercial trucks,Uk,20,MetroFleet Auto Group,Delivered,2020,2020-01,2020Q1
10031,50839.75,2020-01-03,chassis components,Australia,29,AutoNation Dealers,Delivered,2020,2020-01,2020Q1
10032,51601.22,2020-10-08,passenger vehicles,Usa,64,MetroFleet Auto Group,Delivered,2020,2020-10,2020Q4
10033,13542.06,2020-12-05,commercial trucks,Usa,79,EuroFleet Systems,Cancelled,2020,2020-12,2020Q4
10034,61948.35,2020-09-15,passenger vehicles,Japan,53,FleetX Logistics Ltd.,Delivered,2020,2020-09,2020Q3
10035,35626.57,2020-12-11,passenger vehicles,Italy,24,FleetX Logistics Ltd.,Cancelled,2020,2020-12,2020Q4
10036,28334.21,2020-08-05,passenger vehicles,Usa,23,Velocity Vehicles,Delivered,2020,2020-08,2020Q3
10037,26208.97,2020-02-11,chassis components,Usa,37,"Raymond, Rios and Lucero",Delivered,2020,2020-02,2020Q1
10038,19715.62,2020-08-13,commercial trucks,France,98,DriveTech Distributors,Delivered,2020,2020-08,2020Q3
10039,67378.94,2020-01-24,commercial trucks,France,88,MaxMove Transport,Delivered,2020,2020-01,2020Q1
10040,10632.73,2020-02-14,trailers,Uk,96,AutoNation Dealers,Cancelled,2020,2020-02,2020Q1
10041,6003.68,2020-12-17,passenger vehicles,Usa,22,DriveTech Distributors,Disputed,2020,2020-12,2020Q4
10042,50720.52,2020-03-15,commercial trucks,Italy,9,Collins-Nicholson,Delivered,2020,2020-03,2020Q1
10044,16926.97,2020-04-07,transmission units,Uk,87,DriveTech Distributors,Delivered,2020,2020-04,2020Q2
10045,65104.04,2020-05-27,passenger vehicles,Italy,83,Velocity Vehicles,Delivered,2020,2020-05,2020Q2
10046,44982.81,2020-11-17,commercial trucks,Australia,82,EuroFleet Systems,Delivered,2020,2020-11,2020Q4
10047,38285.93,2020-03-31,vehicle interiors,Germany,66,"Adams, Garcia and Schneider",Resolved,2020,2020-03,2020Q1
10048,9322.85,2020-02-13,trailers,Uk,53,Murphy-Gonzalez,Delivered,2020,2020-02,2020Q1
10049,38702.48,2020-02-23,vehicle interiors,France,66,FleetX Logistics Ltd.,Delivered,2020,2020-02,2020Q1
10050,36412.75,2020-12-23,passenger vehicles,Japan,15,AutoNation Dealers,Delivered,2020,2020-12,2020Q4
10051,38370.35,2020-05-12,engine systems,Germany,30,DriveTech Distributors,Delivered,2020,2020-05,2020Q2
10052,56148.86,2020-11-15,commercial trucks,Japan,22,DriveTech Distributors,Delivered,2020,2020-11,2020Q4
10053,66690.89,2020-12-21,passenger vehicles,Italy,96,MetroFleet Auto Group,Delivered,2020,2020-12,2020Q4
10054,56501.71,2020-10-11,passenger vehicles,France,85,DriveTech Distributors,Delivered,2020,2020-10,2020Q4
10055,33189.76,2020-01-19,passenger vehicles,Japan,5,FleetX Logistics Ltd.,Delivered,2020,2020-01,2020Q1
10056,30792.38,2021-09-20,commercial trucks,Italy,44,Velocity Vehicles,Delivered,2021,2021-09,2021Q3
10057,31028.53,2021-10-21,commercial trucks,France,91,TransGlobal Motors,Delivered,2021,2021-10,2021Q4
10058,17222.93,2021-09-18,vehicle interiors,France,36,MetroFleet Auto Group,Delivered,2021,2021-09,2021Q3
10059,12622.98,2021-12-24,commercial trucks,France,49,MetroFleet Auto Group,Delivered,2021,2021-12,2021Q4
10060,25018.91,2021-11-09,transmission units,Australia,94,TransGlobal Motors,Delivered,2021,2021-11,2021Q4
10061,21202.52,2021-12-11,passenger vehicles,France,66,FleetX Logistics Ltd.,Delivered,2021,2021-12,2021Q4
10062,50634.75,2021-07-11,engine systems,Italy,26,AutoNation Dealers,Disputed,2021,2021-07,2021Q3
10064,12254.85,2021-10-21,commercial trucks,Italy,77,"Henry, Rivers and Henry",Delivered,2021,2021-10,2021Q4
10065,43438.75,2021-03-04,chassis components,Japan,41,DriveTech Distributors,Delivered,2021,2021-03,2021Q1
10066,22198.31,2021-12-19,electrical systems,Germany,45,TransGlobal Motors,Resolved,2021,2021-12,2021Q4
10067,17406.25,2021-04-13,trailers,Australia,13,Velocity Vehicles,Delivered,2021,2021-04,2021Q2
10068,52648.32,2021-09-21,chassis components,Uk,99,Zimmerman PLC,Delivered,2021,2021-09,2021Q3
10069,57610.45,2021-07-01,passenger vehicles,Japan,5,DriveTech Distributors,Delivered,2021,2021-07,2021Q3
10070,50458.13,2021-09-07,passenger vehicles,Japan,13,Lopez LLC,Delivered,2021,2021-09,2021Q3
10071,36668.33,2021-09-26,transmission units,France,55,AutoNation Dealers,Delivered,2021,2021-09,2021Q3
10072,30034.93,2021-04-30,commercial trucks,France,80,FleetX Logistics Ltd.,Delivered,2021,2021-04,2021Q2
10073,10696.02,2021-11-29,passenger vehicles,Germany,7,MaxMove Transport,Delivered,2021,2021-11,2021Q4
10075,7670.08,2021-02-25,passenger vehicles,Uk,83,DriveTech Distributors,Cancelled,2021,2021-02,2021Q1
10076,25213.47,2021-09-22,passenger vehicles,Uk,56,TransGlobal Motors,Delivered,2021,2021-09,2021Q3
10077,31208.96,2021-06-21,commercial trucks,Canada,13,Velocity Vehicles,Delivered,2021,2021-06,2021Q2
10078,8078.77,2021-11-01,chassis components,Italy,25,FleetX Logistics Ltd.,Delivered,2021,2021-11,2021Q4
10079,18049.55,2021-12-01,vehicle interiors,Japan,73,FleetX Logistics Ltd.,Delivered,2021,2021-12,2021Q4
10080,32077.93,2021-01-23,passenger vehicles,Uk,47,Berry-Reese,Cancelled,2021,2021-01,2021Q1
10081,33304.36,2021-02-15,passenger vehicles,Uk,36,DriveTech Distributors,Delivered,2021,2021-02,2021Q1
10082,53349.85,2021-11-22,passenger vehicles,Uk,99,MaxMove Transport,Resolved,2021,2021-11,2021Q4
10083,6105.07,2021-05-09,passenger vehicles,Germany,46,Payne LLC,Delivered,2021,2021-05,2021Q2
10084,35828.46,2021-07-07,chassis components,France,68,TransGlobal Motors,Delivered,2021,2021-07,2021Q3
10085,15468.58,2021-06-05,commercial trucks,Canada,68,Velocity Vehicles,Delivered,2021,2021-06,2021Q2
10086,49339.57,2021-12-22,commercial trucks,Japan,63,MetroFleet Auto Group,Delivered,2021,2021-12,2021Q4
10087,12963.59,2021-06-17,commercial trucks,Canada,33,EuroFleet Systems,Delivered,2021,2021-06,2021Q2
10088,53174.48,2021-03-19,chassis components,France,4,EuroFleet Systems,Delivered,2021,2021-03,2021Q1
10089,4508.22,2021-06-16,passenger vehicles,Australia,26,TransGlobal Motors,Delivered,2021,2021-06,2021Q2
10090,27691.8,2021-03-22,semi-trailers,Australia,97,MaxMove Transport,Cancelled,2021,2021-03,2021Q1
10091,19938.36,2021-05-27,trailers,Australia,82,Velocity Vehicles,Delivered,2021,2021-05,2021Q2
10092,24337.88,2021-06-12,trailers,Uk,73,TransGlobal Motors,Delivered,2021,2021-06,2021Q2
10093,7131.84,2021-04-28,commercial trucks,France,78,EuroFleet Systems,Delivered,2021,2021-04,2021Q2
10094,42402.67,2021-08-25,commercial trucks,Japan,37,Velocity Vehicles,Delivered,2021,2021-08,2021Q3
10095,32203.79,2021-09-11,commercial trucks,Australia,95,Velocity Vehicles,Disputed,2021,2021-09,2021Q3
10096,8715.64,2021-11-16,electrical systems,Australia,99,TransGlobal Motors,Delivered,2021,2021-11,2021Q4
10097,43406.23,2021-09-21,passenger vehicles,Germany,91,MaxMove Transport,Cancelled,2021,2021-09,2021Q3
10098,15346.95,2021-07-22,transmission units,Germany,23,Velocity Vehicles,Delivered,2021,2021-07,2021Q3
10099,25948.54,2021-06-15,semi-trailers,Germany,90,DriveTech Distributors,Delivered,2021,2021-06,2021Q2
10101,30185.1,2022-03-27,commercial trucks,Japan,99,FleetX Logistics Ltd.,Delivered,2022,2022-03,2022Q1
10102,20322.94,2022-08-23,electrical systems,Usa,95,DriveTech Distributors,Delivered,2022,2022-08,2022Q3
10103,63380.71,2022-06-05,passenger vehicles,Japan,58,TransGlobal Motors,Resolved,2022,2022-06,2022Q2
10105,68182.34,2022-06-21,commercial trucks,France,34,Barr Inc,Delivered,2022,2022-06,2022Q2
10106,59060.17,2022-04-12,passenger vehicles,Canada,46,DriveTech Distributors,Resolved,2022,2022-04,2022Q2
10107,68341.37,2022-10-18,passenger vehicles,Italy,35,MetroFleet Auto Group,Resolved,2022,2022-10,2022Q4
10108,19237.4,2022-01-18,commercial trucks,Germany,91,MetroFleet Auto Group,Delivered,2022,2022-01,2022Q1
10109,15271.38,2022-10-29,passenger vehicles,Canada,13,Velocity Vehicles,Delivered,2022,2022-10,2022Q4
10110,51713.13,2022-07-15,semi-trailers,Usa,36,DriveTech Distributors,Cancelled,2022,2022-07,2022Q3
10111,22500.22,2022-06-28,semi-trailers,Canada,66,DriveTech Distributors,Disputed,2022,2022-06,2022Q2
10112,18807.16,2022-05-19,chassis components,France,17,DriveTech Distributors,Delivered,2022,2022-05,2022Q2
10113,46143.11,2022-01-25,passenger vehicles,France,96,FleetX Logistics Ltd.,Delivered,2022,2022-01,2022Q1
10114,37928.16,2022-05-12,passenger vehicles,Japan,14,MetroFleet Auto Group,Cancelled,2022,2022-05,2022Q2
10115,42639.73,2022-03-07,electrical systems,Canada,72,"Thompson, White and Klein",Delivered,2022,2022-03,2022Q1
10116,49635.11,2022-07-21,vehicle interiors,Germany,48,DriveTech Distributors,Delivered,2022,2022-07,2022Q3
10117,44570.24,2022-08-08,engine systems,Japan,16,MetroFleet Auto Group,Delivered,2022,2022-08,2022Q3
10118,5056.06,2022-11-06,chassis components,Canada,19,MetroFleet Auto Group,Cancelled,2022,2022-11,2022Q4
10119,28005.05,2022-08-13,passenger vehicles,Uk,70,EuroFleet Systems,Cancelled,2022,2022-08,2022Q3
10120,11390.12,2022-03-08,passenger vehicles,Uk,81,Davis Ltd,Delivered,2022,2022-03,2022Q1
10121,63751.15,2022-08-26,commercial trucks,Usa,97,MetroFleet Auto Group,Delivered,2022,2022-08,2022Q3
10122,52067.19,2022-12-27,trailers,Australia,93,Jones-Morris,Delivered,2022,2022-12,2022Q4
10123,13799.02,2022-06-11,passenger vehicles,Germany,12,Owens Group,Cancelled,2022,2022-06,2022Q2
10124,44645.26,2022-01-06,passenger vehicles,Japan,26,DriveTech Distributors,Delivered,2022,2022-01,2022Q1
10125,55080.71,2022-06-06,commercial trucks,Usa,55,Velocity Vehicles,Delivered,2022,2022-06,2022Q2
10126,68969.36,2022-09-08,passenger vehicles,Uk,75,Fox PLC,Delivered,2022,2022-09,2022Q3
10127,47814.3,2022-12-07,commercial trucks,Uk,70,DriveTech Distributors,Resolved,2022,2022-12,2022Q4
10128,18039.92,2022-08-03,passenger vehicles,Usa,78,FleetX Logistics Ltd.,Delivered,2022,2022-08,2022Q3
10129,65260.51,2022-12-16,semi-trailers,Uk,73,"Petersen, Brown and Houston",Cancelled,2022,2022-12,2022Q4
10130,24959.01,2022-11-18,semi-trailers,Uk,28,MaxMove Transport,Delivered,2022,2022-11,2022Q4
10131,34631.89,2022-04-09,trailers,France,91,Velocity Vehicles,Delivered,2022,2022-04,2022Q2
10132,27340.94,2022-03-15,semi-trailers,Germany,24,FleetX Logistics Ltd.,Delivered,2022,2022-03,2022Q1
10133,33232.69,2022-12-21,passenger vehicles,Germany,99,Velocity Vehicles,Delivered,2022,2022-12,2022Q4
10134,19680.07,2022-07-18,commercial trucks,France,76,MetroFleet Auto Group,Delivered,2022,2022-07,2022Q3
10135,46694.1,2022-04-14,chassis components,France,38,MetroFleet Auto Group,Resolved,2022,2022-04,2022Q2
10136,16474.71,2022-01-07,transmission units,Canada,4,EuroFleet Systems,Delivered,2022,2022-01,2022Q1
10138,21874.13,2022-02-08,engine systems,Canada,52,AutoNation Dealers,Delivered,2022,2022-02,2022Q1
10139,6736.55,2022-06-26,passenger vehicles,Japan,35,Velocity Vehicles,Cancelled,2022,2022-06,2022Q2
10140,4115.68,2022-03-09,commercial trucks,France,51,DriveTech Distributors,Delivered,2022,2022-03,2022Q1
10141,10127.06,2022-08-22,passenger vehicles,Germany,52,TransGlobal Motors,Delivered,2022,2022-08,2022Q3
10142,14730.54,2022-05-19,passenger vehicles,Usa,38,Walker Group,Delivered,2022,2022-05,2022Q2
10143,30765.74,2022-06-28,commercial trucks,Japan,34,DriveTech Distributors,Delivered,2022,2022-06,2022Q2
10144,7637.66,2022-08-01,passenger vehicles,France,44,Patton-Hensley,Delivered,2022,2022-08,2022Q3
10145,7078.97,2022-09-06,commercial trucks,Italy,74,MetroFleet Auto Group,Delivered,2022,2022-09,2022Q3
10146,10222.02,2022-12-12,commercial trucks,Australia,19,AutoNation Dealers,Delivered,2022,2022-12,2022Q4
10147,66218.82,2022-01-05,passenger vehicles,Japan,86,AutoNation Dealers,Disputed,2022,2022-01,2022Q1
10148,60346.5,2022-02-11,passenger vehicles,Usa,85,Velocity Vehicles,Delivered,2022,2022-02,2022Q1
10149,52772.98,2022-10-01,passenger vehicles,Japan,10,EuroFleet Systems,Disputed,2022,2022-10,2022Q4
10150,56335.86,2022-03-02,vehicle interiors,Germany,39,AutoNation Dealers,Delivered,2022,2022-03,2022Q1
10151,18003.95,2022-08-19,semi-trailers,Usa,1,TransGlobal Motors,Delivered,2022,2022-08,2022Q3
10152,52834.58,2022-06-30,passenger vehicles,Australia,25,Guerrero-Sawyer,Delivered,2022,2022-06,2022Q2
10153,52391.78,2022-11-16,passenger vehicles,Germany,43,EuroFleet Systems,Disputed,2022,2022-11,2022Q4
10154,7232.58,2022-03-12,passenger vehicles,Australia,76,TransGlobal Motors,Delivered,2022,2022-03,2022Q1
10155,29107.93,2022-05-22,commercial trucks,Australia,63,MaxMove Transport,Resolved,2022,2022-05,2022Q2
10156,46963.72,2022-11-13,passenger vehicles,Uk,73,Velocity Vehicles,Delivered,2022,2022-11,2022Q4
10157,55265.01,2022-06-13,passenger vehicles,Italy,11,FleetX Logistics Ltd.,Cancelled,2022,2022-06,2022Q2
10158,67350.9,2022-06-15,semi-trailers,Italy,17,EuroFleet Systems,Delivered,2022,2022-06,2022Q2
10159,20130.64,2022-01-14,semi-trailers,France,50,DriveTech Distributors,Cancelled,2022,2022-01,2022Q1
10160,4116.98,2022-10-28,commercial trucks,Uk,32,DriveTech Distributors,Cancelled,2022,2022-10,2022Q4
10161,4995.7,2022-04-27,trailers,Australia,30,"Mccoy, Johnson and Davenport",Delivered,2022,2022-04,2022Q2
10162,17273.1,2022-03-11,passenger vehicles,Australia,24,EuroFleet Systems,Delivered,2022,2022-03,2022Q1
10163,13673.0,2022-02-11,passenger vehicles,Australia,2,MaxMove Transport,Delivered,2022,2022-02,2022Q1
10164,30678.48,2022-10-25,semi-trailers,France,9,TransGlobal Motors,Delivered,2022,2022-10,2022Q4
10165,36928.75,2022-11-06,commercial trucks,Canada,54,DriveTech Distributors,Delivered,2022,2022-11,2022Q4
10166,53224.27,2022-10-09,commercial trucks,Italy,44,MaxMove Transport,Delivered,2022,2022-10,2022Q4
10167,24532.99,2022-07-09,passenger vehicles,Germany,3,MetroFleet Auto Group,Delivered,2022,2022-07,2022Q3
10168,7460.71,2022-03-04,passenger vehicles,Usa,19,MaxMove Transport,Cancelled,2022,2022-03,2022Q1
10169,63121.77,2022-01-21,commercial trucks,Australia,94,MetroFleet Auto Group,Delivered,2022,2022-01,2022Q1
10170,63383.35,2022-04-25,passenger vehicles,Australia,93,MetroFleet Auto Group,Delivered,2022,2022-04,2022Q2
10171,28684.43,2022-04-16,passenger vehicles,Canada,58,AutoNation Dealers,Disputed,2022,2022-04,2022Q2
10172,13943.88,2022-12-12,trailers,Canada,83,AutoNation Dealers,Resolved,2022,2022-12,2022Q4
10173,60465.63,2022-04-07,chassis components,Australia,61,Velocity Vehicles,Delivered,2022,2022-04,2022Q2
10174,34982.11,2022-05-09,passenger vehicles,Uk,13,AutoNation Dealers,Delivered,2022,2022-05,2022Q2
10175,50339.22,2022-10-20,vehicle interiors,Germany,31,FleetX Logistics Ltd.,Delivered,2022,2022-10,2022Q4
10176,68807.71,2022-12-02,passenger vehicles,Australia,61,DriveTech Distributors,Resolved,2022,2022-12,2022Q4
10177,50034.58,2022-10-15,passenger vehicles,France,16,TransGlobal Motors,Resolved,2022,2022-10,2022Q4
10178,6501.93,2022-05-25,passenger vehicles,Australia,10,EuroFleet Systems,Delivered,2022,2022-05,2022Q2
10179,54593.77,2022-10-26,passenger vehicles,Germany,28,MetroFleet Auto Group,Cancelled,2022,2022-10,2022Q4
10180,15347.2,2022-02-20,transmission units,Uk,36,Anderson LLC,Delivered,2022,2022-02,2022Q1
10181,28677.81,2022-03-16,trailers,France,84,MaxMove Transport,Delivered,2022,2022-03,2022Q1
10182,5869.82,2023-01-18,passenger vehicles,France,88,TransGlobal Motors,On Hold,2023,2023-01,2023Q1
10183,57520.49,2023-12-03,passenger vehicles,Uk,28,Velocity Vehicles,Shipped,2023,2023-12,2023Q4
10184,13755.83,2023-01-09,engine systems,Italy,78,AutoNation Dealers,Shipped,2023,2023-01,2023Q1
10185,47310.19,2023-03-03,passenger vehicles,Canada,85,FleetX Logistics Ltd.,Delivered,2023,2023-03,2023Q1
10186,26505.57,2023-08-14,passenger vehicles,Germany,54,FleetX Logistics Ltd.,Delivered,2023,2023-08,2023Q3
10187,79713.8,2023-12-19,semi-trailers,Australia,72,TransGlobal Motors,Shipped,2023,2023-12,2023Q4
10188,58641.57,2023-06-14,semi-trailers,France,52,"Brown, Olsen and Zhang",Delivered,2023,2023-06,2023Q2
10189,55908.12,2023-03-04,commercial trucks,Usa,42,EuroFleet Systems,Resolved,2023,2023-03,2023Q1
10191,58903.42,2023-03-14,semi-trailers,France,81,Yang-Peterson,Shipped,2023,2023-03,2023Q1
10192,4191.31,2023-07-13,transmission units,Italy,18,Brown-Boyle,Cancelled,2023,2023-07,2023Q3
10193,39927.54,2023-12-14,passenger vehicles,Usa,68,DriveTech Distributors,Shipped,2023,2023-12,2023Q4
10194,62497.7,2023-10-14,semi-trailers,Japan,65,AutoNation Dealers,Delivered,2023,2023-10,2023Q4
10195,50638.85,2023-10-13,engine systems,Usa,29,MetroFleet Auto Group,Cancelled,2023,2023-10,2023Q4
10196,11435.73,2023-04-25,commercial trucks,Uk,80,EuroFleet Systems,Delivered,2023,2023-04,2023Q2
10197,68583.85,2023-12-12,commercial trucks,Italy,33,AutoNation Dealers,Delivered,2023,2023-12,2023Q4
10198,54648.05,2023-11-25,passenger vehicles,Australia,69,TransGlobal Motors,Shipped,2023,2023-11,2023Q4
10199,46150.98,2023-12-16,trailers,Germany,80,TransGlobal Motors,Delivered,2023,2023-12,2023Q4
10200,37192.21,2023-09-30,transmission units,Usa,74,EuroFleet Systems,Delivered,2023,2023-09,2023Q3
10201,53545.72,2023-08-03,passenger vehicles,Canada,64,FleetX Logistics Ltd.,Delivered,2023,2023-08,2023Q3
10203,35781.9,2023-07-16,passenger vehicles,Germany,1,MaxMove Transport,Delivered,2023,2023-07,2023Q3
10204,21329.46,2023-11-04,commercial trucks,Australia,55,MetroFleet Auto Group,Resolved,2023,2023-11,2023Q4
10205,68839.88,2023-04-27,commercial trucks,Germany,12,MaxMove Transport,Delivered,2023,2023-04,2023Q2
10206,75122.57,2023-06-24,semi-trailers,Germany,66,MaxMove Transport,Delivered,2023,2023-06,2023Q2
10207,54002.52,2023-12-28,passenger vehicles,Italy,12,TransGlobal Motors,Disputed,2023,2023-12,2023Q4
10208,57530.49,2023-10-29,passenger vehicles,Usa,72,TransGlobal Motors,Delivered,2023,2023-10,2023Q4
10209,63505.98,2023-08-16,semi-trailers,Canada,94,FleetX Logistics Ltd.,Shipped,2023,2023-08,2023Q3
10210,61242.76,2023-10-27,passenger vehicles,Uk,48,TransGlobal Motors,Shipped,2023,2023-10,2023Q4
10211,58102.17,2023-10-27,commercial trucks,Canada,14,FleetX Logistics Ltd.,Delivered,2023,2023-10,2023Q4
10212,69983.46,2023-02-05,semi-trailers,Uk,70,FleetX Logistics Ltd.,Delivered,2023,2023-02,2023Q1
10213,25780.67,2023-04-08,passenger vehicles,Italy,16,DriveTech Distributors,Resolved,2023,2023-04,2023Q2
10214,58648.82,2023-12-21,passenger vehicles,Germany,37,MetroFleet Auto Group,Resolved,2023,2023-12,2023Q4
10215,47282.53,2023-02-22,chassis components,Germany,41,EuroFleet Systems,Delivered,2023,2023-02,2023Q1
10216,65905.69,2023-05-03,commercial trucks,Uk,81,FleetX Logistics Ltd.,Delivered,2023,2023-05,2023Q2
10217,69817.27,2023-04-25,trailers,Japan,9,TransGlobal Motors,Delivered,2023,2023-04,2023Q2
10218,10433.58,2023-02-24,passenger vehicles,Canada,67,EuroFleet Systems,Shipped,2023,2023-02,2023Q1
10219,35498.09,2023-01-25,passenger vehicles,France,10,DriveTech Distributors,Delivered,2023,2023-01,2023Q1
10220,64953.07,2023-01-17,trailers,Japan,17,Velocity Vehicles,Resolved,2023,2023-01,2023Q1
10221,26566.71,2023-10-06,engine systems,Japan,48,EuroFleet Systems,Delivered,2023,2023-10,2023Q4
10222,55479.89,2023-08-18,commercial trucks,France,2,TransGlobal Motors,Delivered,2023,2023-08,2023Q3
10223,43554.16,2023-01-06,vehicle interiors,Uk,71,Oliver Group,Disputed,2023,2023-01,2023Q1
10224,64951.58,2023-08-04,commercial trucks,Italy,22,MaxMove Transport,Delivered,2023,2023-08,2023Q3
10225,24421.84,2023-08-17,commercial trucks,Japan,70,Velocity Vehicles,Delivered,2023,2023-08,2023Q3
10226,6881.27,2023-05-17,engine systems,Japan,78,TransGlobal Motors,Cancelled,2023,2023-05,2023Q2
10227,73773.4,2023-06-14,chassis components,Australia,75,MetroFleet Auto Group,Shipped,2023,2023-06,2023Q2
10228,62028.11,2023-04-27,passenger vehicles,Japan,75,DriveTech Distributors,Delivered,2023,2023-04,2023Q2
10229,27541.04,2023-08-12,engine systems,Australia,78,AutoNation Dealers,Delivered,2023,2023-08,2023Q3
10230,78668.19,2023-05-24,passenger vehicles,Canada,49,AutoNation Dealers,Resolved,2023,2023-05,2023Q2
10231,66486.33,2023-12-02,passenger vehicles,Australia,98,"Steele, Duffy and Neal",Delivered,2023,2023-12,2023Q4
10232,44869.58,2023-03-28,passenger vehicles,Canada,50,DriveTech Distributors,Shipped,2023,2023-03,2023Q1
10233,73608.06,2023-02-26,chassis components,Usa,55,Velocity Vehicles,Delivered,2023,2023-02,2023Q1
10234,32169.58,2023-09-19,trailers,Canada,63,Shaw-Foley,Shipped,2023,2023-09,2023Q3
10235,21738.09,2023-06-30,passenger vehicles,Canada,43,"Ward, Maddox and Garrett",Delivered,2023,2023-06,2023Q2
10236,17967.78,2023-04-17,commercial trucks,Australia,33,DriveTech Distributors,Delivered,2023,2023-04,2023Q2
10237,64578.06,2023-06-07,chassis components,Italy,83,Hartman PLC,Shipped,2023,2023-06,2023Q2
10238,50387.26,2023-07-27,commercial trucks,Italy,85,FleetX Logistics Ltd.,Delivered,2023,2023-07,2023Q3
10240,74673.39,2023-05-03,commercial trucks,Canada,98,EuroFleet Systems,Delivered,2023,2023-05,2023Q2
10241,43297.63,2023-01-30,passenger vehicles,France,16,"Ellis, Nichols and Goodwin",Delivered,2023,2023-01,2023Q1
10242,36142.64,2023-08-22,trailers,Usa,31,MaxMove Transport,Delivered,2023,2023-08,2023Q3
10243,52859.61,2023-03-19,passenger vehicles,Germany,58,EuroFleet Systems,Delivered,2023,2023-03,2023Q1
10244,28364.4,2023-06-03,commercial trucks,Japan,51,EuroFleet Systems,In Process,2023,2023-06,2023Q2
10245,75337.46,2023-03-14,transmission units,Australia,20,TransGlobal Motors,Resolved,2023,2023-03,2023Q1
10246,12147.9,2023-02-12,passenger vehicles,Canada,18,EuroFleet Systems,Resolved,2023,2023-02,2023Q1
10248,49952.26,2023-10-17,engine systems,Canada,54,TransGlobal Motors,Cancelled,2023,2023-10,2023Q4
10249,39980.93,2023-08-12,trailers,Japan,2,DriveTech Distributors,Shipped,2023,2023-08,2023Q3
10250,7022.32,2023-07-31,engine systems,France,61,EuroFleet Systems,Delivered,2023,2023-07,2023Q3
10251,43409.38,2023-08-13,semi-trailers,Uk,87,MetroFleet Auto Group,Shipped,2023,2023-08,2023Q3
10252,10847.48,2023-12-25,chassis components,Germany,30,DriveTech Distributors,Shipped,2023,2023-12,2023Q4
